"Story","Title","Result","Date","Stability","Duration (s)"
"Employee curd test","Test001","SUCCESS","2022-06-05T19:17:50.684+01:00[Europe/London]","0.0","3.54"
"Employee curd test","Test002","FAILURE","2022-06-05T19:17:54.241+01:00[Europe/London]","0.0","0.97"
"Employee curd test","Test003","SUCCESS","2022-06-05T19:17:55.215+01:00[Europe/London]","0.0","0.68"
"Employee curd test","Test004","SUCCESS","2022-06-05T19:17:55.896+01:00[Europe/London]","0.0","0.75"
