"Story","Title","Result","Date","Stability","Duration (s)"
"Employee curd test","Test001","SUCCESS","2022-06-21T06:49:10.161+01:00[Europe/London]","0.0","0.75"
"Employee curd test","Test002","SUCCESS","2022-06-21T06:49:10.912+01:00[Europe/London]","0.0","0.8"
"Employee curd test","Test004","SUCCESS","2022-06-21T06:49:12.555+01:00[Europe/London]","0.0","0.69"
"End to End testing of Employee data","Create a new Employee data & verify if the Employee is added","SUCCESS","2022-06-21T06:49:01.673+01:00[Europe/London]","0.0","4.12"
"End to End testing of Employee data","Verify the Employee data are successfully created","SUCCESS","2022-06-21T06:49:06.713+01:00[Europe/London]","0.0","0.8"
